chunk_id,semantic_score
0,0.3537
1,0.471
2,0.4046
3,0.9378
4,0.7466
5,0.9637
6,1.0
7,0.7375
8,0.8555
9,0.3741
10,0.6544
11,0.4136
12,0.4182
13,0.2042
14,0.41
15,0.4007
16,0.4128
17,0.7143
18,0.4336
19,0.2871
20,0.3623
21,0.3445
22,0.371
23,0.4107
24,0.3823
25,0.1862
26,0.3721
27,0.2447
28,0.4026
29,0.0916
30,0.1462
31,0.2232
32,0.2128
33,0.1528
34,0.3084
35,0.2708
36,0.2402
37,0.2937
38,0.2226
39,0.4953
40,0.4305
41,0.3893
42,0.4379
43,0.4237
44,0.3315
45,0.418
46,0.1605
47,0.4086
48,0.249
49,0.4938
50,0.3604
51,0.2578
52,0.0421
53,0.2624
54,0.1246
55,0.4425
56,0.0835
57,0.1952
58,0.3723
59,0.0328
60,0.0
61,0.0277
62,0.2876
63,0.1672
64,0.0667
65,0.2011
66,0.1209
67,0.1483
68,0.2586
69,0.3586
70,0.1142
71,0.2267
72,0.1379
73,0.264
74,0.5368
75,0.1629
76,0.2107
77,0.4163
78,0.332
79,0.3678
80,0.3424
81,0.2605
82,0.3049
83,0.3406
84,0.6718
85,0.692
86,0.5147
87,0.7839
88,0.6689
89,0.5141
90,0.2946
91,0.0746
92,0.1287
93,0.1405
94,0.0619
95,0.0692
96,0.0217
97,0.1437
98,0.1623
99,0.3684
100,0.4767
101,0.3395
102,0.3432
103,0.4399
104,0.4567
105,0.2576
106,0.2977
107,0.2225
108,0.5064
109,0.4373
110,0.5048
111,0.6451
112,0.6119
113,0.4732
114,0.5244
115,0.3423
116,0.5544
117,0.4262
118,0.3465
119,0.3345
120,0.3786
121,0.168
122,0.1303
123,0.1558
124,0.1505
125,0.3794
126,0.0991
127,0.1639
128,0.2858
129,0.2051
130,0.3383
131,0.2604
132,0.2918
133,0.347
134,0.5309
135,0.6027
136,0.4278
137,0.3841
138,0.2391
139,0.3777
140,0.2616
141,0.4005
142,0.3555
143,0.3027
144,0.4568
145,0.4222
146,0.3346
147,0.3736
148,0.2592
149,0.2575
150,0.1956
151,0.2771
152,0.2621
153,0.3756
154,0.6201
155,0.6746
156,0.6794
157,0.7333
158,0.8368
159,0.6584
160,0.8803
161,0.5311
162,0.314
163,0.494
164,0.6995
165,0.6014
166,0.694
167,0.8591
168,0.4221
169,0.2212
